"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income",,,
Per capita personal income (Dollars) 2/,,,
Bureau of Economic Analysis,,,
Metropolitan Statistical Area,,,
,,,
GeoFips,GeoName,2005,
00998,United States (Metropolitan Portion),37389,
10180,"Abilene, TX (Metropolitan Statistical Area)",28776,
10420,"Akron, OH (Metropolitan Statistical Area)",33839,
10500,"Albany, GA (Metropolitan Statistical Area)",26392,
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",27829,
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",37109,
10740,"Albuquerque, NM (Metropolitan Statistical Area) *",31392,
10780,"Alexandria, LA (Metropolitan Statistical Area)",31074,
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",37276,
11020,"Altoona, PA (Metropolitan Statistical Area)",29834,
11100,"Amarillo, TX (Metropolitan Statistical Area)",29666,
11180,"Ames, IA (Metropolitan Statistical Area)",31530,
11260,"Anchorage, AK (Metropolitan Statistical Area)",42063,
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",40320,
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",27576,
11540,"Appleton, WI (Metropolitan Statistical Area)",34473,
11700,"Asheville, NC (Metropolitan Statistical Area)",30568,
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",27895,
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",38674,
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",33469,
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",26092,
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",29206,
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",36658,
12540,"Bakersfield, CA (Metropolitan Statistical Area)",26084,
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",42042,
12620,"Bangor, ME (Metropolitan Statistical Area)",29327,
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",44405,
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",32164,
12980,"Battle Creek, MI (Metropolitan Statistical Area)",28505,
13020,"Bay City, MI (Metropolitan Statistical Area)",28805,
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",28403,
13220,"Beckley, WV (Metropolitan Statistical Area)",25391,
13380,"Bellingham, WA (Metropolitan Statistical Area)",30524,
13460,"Bend, OR (Metropolitan Statistical Area)",33113,
13740,"Billings, MT (Metropolitan Statistical Area)",32594,
13780,"Binghamton, NY (Metropolitan Statistical Area)",28473,
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",36181,
13900,"Bismarck, ND (Metropolitan Statistical Area)",33566,
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",25690,
14010,"Bloomington, IL (Metropolitan Statistical Area)",34298,
14020,"Bloomington, IN (Metropolitan Statistical Area)",27596,
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",28908,
14260,"Boise City, ID (Metropolitan Statistical Area)",32348,
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",48531,
14500,"Boulder, CO (Metropolitan Statistical Area) *",46260,
14540,"Bowling Green, KY (Metropolitan Statistical Area)",26983,
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",37687,
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",74321,
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",18922,
15260,"Brunswick, GA (Metropolitan Statistical Area)",32582,
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",31690,
15500,"Burlington, NC (Metropolitan Statistical Area)",29049,
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",37414,
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",37576,
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",30430,
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",37783,
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",29171,
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",27018,
16180,"Carson City, NV (Metropolitan Statistical Area)",24645,
16220,"Casper, WY (Metropolitan Statistical Area)",40633,
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",34176,
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",32969,
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",31087,
16620,"Charleston, WV (Metropolitan Statistical Area)",30074,
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",32678,
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",36178,
16820,"Charlottesville, VA (Metropolitan Statistical Area) *",40068,
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",31378,
16940,"Cheyenne, WY (Metropolitan Statistical Area)",37443,
