msa,pcrime,pop,year
"Baltimore, MD","3,818.00","2,626,193",2003
"Boston, MA","2,384.50","4,453,436",2003
"Jacksonville, FL","4,563.50","1,199,156",2003
"Las Vegas, NV","4,560.60","1,569,549",2003
"Los Angeles, CA","2,954.10","12,878,801",2003
"Miami, FL","5,030.10","5,327,879",2003
"New Orleans, LA","4,320.80","1,319,270",2003
"New York, NY","2,168.40","18,659,493",2003
"Oklahoma City, OK","5,885.70","1,126,991",2003
"Orlando, FL","4,539.00","1,784,264",2003
"Phonenix, AZ","5,852.60","3,579,924",2003
"Pittsburgh, PA","2,407.80","2,424,149",2003
"Rochester, NY","3,377.40","1,044,556",2003
"Salt Lake City, UT","5,577.40","1,012,356",2003
"San Diego, CA","3,290.10","2,937,155",2003
"San Francisco, CA","4,058.40","4,223,349",2003
"Seattle, WA","5,048.70","3,157,999",2003
