msa,pcrime,pop,year
"Austin, TX","4,304.9","1,192,230",2000
"Baltimore, MD","4,501.8","2,551,398",2000
"Boston, MA","2,474.1","3,573,108",2000
"Buffalo, NY","3,244.5","1,193,158",2000
"Fort Worth, TX","4,713.6","1,694,349",2000
"Jacksonville, FL","5,006.2","1,117,228",2000
"Las Vegas, NV","4,028.4","1,521,236",2000
"Los Angeles, CA","3,036.0","9,534,500",2000
"Miami, FL","6,855.8","2,301,055",2000
"New Orleans, LA","5,044.0","1,334,426",2000
"New York, NY","2,666.2","9,111,706",2000
"Oklahoma City, OK","5,829.5","1,075,023",2000
"Orlando, FL","5,124.1","1,623,494",2000
"Phonenix, AZ","5,644.8","3,235,892",2000
"Pittsburgh, PA","2,268.1","2,398,928",2000
"Rochester, NY","3,361.0","1,123,264",2000
"Salt Lake City, UT","5,053.2","1,336,937",2000
"San Diego, CA","2,798.2","2,882,676",2000
"San Francisco, CA","3,392.6","1,722,596",2000
"Seattle, WA","4,837.5","2,375,924",2000
