msa,pcrime,pop,year
"Austin-San Marcos, TX M.S.A.","4,478.10","1,278,125",2001
"Baltimore, MD M.S.A.","4,438.70","2,590,914",2001
"Boston, MA-NH M.S.A.5","2,546.80","3,422,303",2001
"Buffalo, NY","3,150.40","1,172,265",2001
"Fort Worth, TX","5,054.40","1,741,264",2001
"Jacksonville, FL","4,986.30","1,129,007",2001
"Las Vegas, NV","3,858.10","1,644,604",2001
"Los Angeles, CA","3,106.60","9,696,252",2001
"Miami, FL","6,446.90","2,311,752",2001
"New Orleans, LA","4,961.40","1,336,665",2001
"New York, NY","2,400.80","9,331,378",2001
"Oklahoma City, OK","5,534.50","1,086,308",2001
"Orlando, FL","5,195.80","1,687,175",2001
"Phonenix, AZ","5,860.30","3,363,872",2001
"Pittsburgh, PA","2,413.70","2,359,866",2001
"Rochester, NY","3,246.20","1,100,221",2001
"Salt Lake City, UT","4,812.80","1,355,788",2001
"San Diego, CA","3,051.70","2,866,126",2001
"Seattle, WA","4,906.30","2,453,063",2001
